filename,date,strain,plasmid,backbone,iptg_concentration
Huseyin2019-09-24.0001.fcs,2019-09-24,KT 2440,1201,pSeva221,0
Huseyin2019-09-24.0002.fcs,2019-09-24,KT 2440,1201,pSeva221,5
Huseyin2019-09-24.0003.fcs,2019-09-24,KT 2440,1201,pSeva221,10
Huseyin2019-09-24.0004.fcs,2019-09-24,KT 2440,1201,pSeva221,20
Huseyin2019-09-24.0005.fcs,2019-09-24,KT 2440,1201,pSeva221,30
Huseyin2019-09-24.0006.fcs,2019-09-24,KT 2440,1201,pSeva221,40
Huseyin2019-09-24.0007.fcs,2019-09-24,KT 2440,1201,pSeva221,70
Huseyin2019-09-24.0008.fcs,2019-09-24,KT 2440,1201,pSeva221,100
Huseyin2019-09-24.0009.fcs,2019-09-24,KT 2440,1201,pSeva221,200
Huseyin2019-09-24.0010.fcs,2019-09-24,KT 2440,1201,pSeva221,500
Huseyin2019-09-24.0011.fcs,2019-09-24,KT 2440,1201,pSeva221,1000
Huseyin2019-09-24.0012.fcs,2019-09-24,KT 2440,1201,pSeva221,2000
Huseyin2019-09-24.0013.fcs,2019-09-24,KT 2440,1717,pSeva221,0
Huseyin2019-09-24.0014.fcs,2019-09-24,KT 2440,1717,pSeva221,5
Huseyin2019-09-24.0015.fcs,2019-09-24,KT 2440,1717,pSeva221,10
Huseyin2019-09-24.0016.fcs,2019-09-24,KT 2440,1717,pSeva221,20
Huseyin2019-09-24.0017.fcs,2019-09-24,KT 2440,1717,pSeva221,30
Huseyin2019-09-24.0018.fcs,2019-09-24,KT 2440,1717,pSeva221,40
Huseyin2019-09-24.0019.fcs,2019-09-24,KT 2440,1717,pSeva221,70
Huseyin2019-09-24.0020.fcs,2019-09-24,KT 2440,1717,pSeva221,100
Huseyin2019-09-24.0021.fcs,2019-09-24,KT 2440,1717,pSeva221,200
Huseyin2019-09-24.0022.fcs,2019-09-24,KT 2440,1717,pSeva221,500
Huseyin2019-09-24.0023.fcs,2019-09-24,KT 2440,1717,pSeva221,1000
Huseyin2019-09-24.0024.fcs,2019-09-24,KT 2440,1717,pSeva221,2000
Huseyin2019-09-24.0025.fcs,2019-09-24,KT 2440,1818,pSeva221,0
Huseyin2019-09-24.0026.fcs,2019-09-24,KT 2440,1818,pSeva221,5
Huseyin2019-09-24.0027.fcs,2019-09-24,KT 2440,1818,pSeva221,10
Huseyin2019-09-24.0028.fcs,2019-09-24,KT 2440,1818,pSeva221,20
Huseyin2019-09-24.0029.fcs,2019-09-24,KT 2440,1818,pSeva221,30
Huseyin2019-09-24.0030.fcs,2019-09-24,KT 2440,1818,pSeva221,40
