,iptg,median_yfp,filename,strain,backbone,plasmid
0,1,3.72,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
1,5,3.57,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
2,10,3.35,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
3,20,3.11,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
4,30,3.05,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
5,40,3.01,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
6,70,2.72,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
7,100,2.62,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
8,200,2.15,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
9,500,1.67,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
10,1000,1.22,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
11,2000,0.65,Interop_KT2440_pSeva221_QacR_Q1.csv,KT2440,pSeva221,QacR_Q1
0,1,5.93,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
1,5,2.67,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
2,10,1.09,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
3,20,0.34,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
4,30,0.14,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
5,40,0.22,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
6,70,0.54,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
7,100,0.66,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
8,200,0.59,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
9,500,0.77,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
10,1000,0.64,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
11,2000,0.58,Interop_DH5alpha_pAN_PsrA_R1.csv,DH5alpha,pAN,PsrA_R1
0,1,6.39,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
1,5,1.64,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
2,10,1.95,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
3,20,0.25,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
4,30,0.28,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
5,40,0.03,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
6,70,0.09,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
7,100,0.0,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
8,200,0.16,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
9,500,0.13,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
10,1000,0.13,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
11,2000,0.25,Interop_CC118Lpir_pSeva231_SrpR_S3.csv,CC118Lpir,pSeva231,SrpR_S3
0,1,5.71,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
1,5,0.57,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
2,10,0.29,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
3,20,0.29,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
4,30,0.28,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
5,40,0.26,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
6,70,0.27,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
7,100,0.29,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
8,200,0.27,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
9,500,0.28,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
10,1000,0.25,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
11,2000,0.33,Interop_DH5alpha_pAN_PhIF_P1.csv,DH5alpha,pAN,PhIF_P1
0,1,10.3,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
1,5,2.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
2,10,0.7,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
3,20,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
4,30,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
5,40,0.0,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
6,70,-0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
7,100,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
8,200,0.0,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
9,500,-0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
