,filename,date,strain,plasmid,backbone,iptg_concentration,median
0,Huseyin2019-09-24.0001.fcs,2019-09-24,KT 2440,1201,pSeva221,0,1.252731442451477
1,Huseyin2019-09-24.0002.fcs,2019-09-24,KT 2440,1201,pSeva221,5,1.0493872165679932
2,Huseyin2019-09-24.0003.fcs,2019-09-24,KT 2440,1201,pSeva221,10,1.07636296749115
3,Huseyin2019-09-24.0004.fcs,2019-09-24,KT 2440,1201,pSeva221,20,1.167649269104004
4,Huseyin2019-09-24.0005.fcs,2019-09-24,KT 2440,1201,pSeva221,30,1.0263872146606445
5,Huseyin2019-09-24.0006.fcs,2019-09-24,KT 2440,1201,pSeva221,40,1.0315521955490112
6,Huseyin2019-09-24.0007.fcs,2019-09-24,KT 2440,1201,pSeva221,70,1.0479917526245117
7,Huseyin2019-09-24.0008.fcs,2019-09-24,KT 2440,1201,pSeva221,100,1.139255166053772
8,Huseyin2019-09-24.0009.fcs,2019-09-24,KT 2440,1201,pSeva221,200,1.100281000137329
9,Huseyin2019-09-24.0010.fcs,2019-09-24,KT 2440,1201,pSeva221,500,1.2587589025497437
10,Huseyin2019-09-24.0011.fcs,2019-09-24,KT 2440,1201,pSeva221,1000,1.072101354598999
11,Huseyin2019-09-24.0012.fcs,2019-09-24,KT 2440,1201,pSeva221,2000,1.483158826828003
12,Huseyin2019-09-24.0013.fcs,2019-09-24,KT 2440,1717,pSeva221,0,13.372058868408203
13,Huseyin2019-09-24.0014.fcs,2019-09-24,KT 2440,1717,pSeva221,5,9.015957832336426
14,Huseyin2019-09-24.0015.fcs,2019-09-24,KT 2440,1717,pSeva221,10,9.573994636535645
15,Huseyin2019-09-24.0016.fcs,2019-09-24,KT 2440,1717,pSeva221,20,9.390352249145508
16,Huseyin2019-09-24.0017.fcs,2019-09-24,KT 2440,1717,pSeva221,30,8.514494895935059
17,Huseyin2019-09-24.0018.fcs,2019-09-24,KT 2440,1717,pSeva221,40,8.40614128112793
18,Huseyin2019-09-24.0019.fcs,2019-09-24,KT 2440,1717,pSeva221,70,8.021675109863281
19,Huseyin2019-09-24.0020.fcs,2019-09-24,KT 2440,1717,pSeva221,100,8.625492095947266
20,Huseyin2019-09-24.0021.fcs,2019-09-24,KT 2440,1717,pSeva221,200,7.72048807144165
21,Huseyin2019-09-24.0022.fcs,2019-09-24,KT 2440,1717,pSeva221,500,7.767226219177246
22,Huseyin2019-09-24.0023.fcs,2019-09-24,KT 2440,1717,pSeva221,1000,8.961716651916504
23,Huseyin2019-09-24.0024.fcs,2019-09-24,KT 2440,1717,pSeva221,2000,7.788849830627441
24,Huseyin2019-09-24.0025.fcs,2019-09-24,KT 2440,1818,pSeva221,0,1.150475263595581
25,Huseyin2019-09-24.0026.fcs,2019-09-24,KT 2440,1818,pSeva221,5,1.089315414428711
26,Huseyin2019-09-24.0027.fcs,2019-09-24,KT 2440,1818,pSeva221,10,1.063604712486267
27,Huseyin2019-09-24.0028.fcs,2019-09-24,KT 2440,1818,pSeva221,20,1.1089770793914795
28,Huseyin2019-09-24.0029.fcs,2019-09-24,KT 2440,1818,pSeva221,30,1.0548380613327026
29,Huseyin2019-09-24.0030.fcs,2019-09-24,KT 2440,1818,pSeva221,40,1.0432368516921997
30,Huseyin2019-09-24.0031.fcs,2019-09-24,KT 2440,1818,pSeva221,70,1.0912230014801025
31,Huseyin2019-09-24.0032.fcs,2019-09-24,KT 2440,1818,pSeva221,100,1.2012102603912354
32,Huseyin2019-09-24.0033.fcs,2019-09-24,KT 2440,1818,pSeva221,200,1.6459623575210571
33,Huseyin2019-09-24.0034.fcs,2019-09-24,KT 2440,1818,pSeva221,500,3.193089008331299
34,Huseyin2019-09-24.0035.fcs,2019-09-24,KT 2440,1818,pSeva221,1000,5.030616760253906
35,Huseyin2019-09-24.0036.fcs,2019-09-24,KT 2440,1818,pSeva221,2000,7.41378116607666
36,Huseyin2019-09-24.0037.fcs,2019-09-24,KT 2440,AmeR-F1,pSeva221,0,115.4992446899414
