,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
0,KT2440,1201,pSeva221,1,0.3128598711405385,2.5358520833828813,0.4410651616949703,0.7652839082365944,0.2702253183141774,0.9826101210428101,0.4246562635324671,0.3271641268821397,,0.01346180205007326
1,KT2440,1201,pSeva221,5,0.09205798258667587,2.2028563102139707,0.44280662551412747,0.7821180184616587,0.3133458001624877,0.9899947933391195,0.4205064828260316,0.16742696510109178,,-0.007823191872005168
2,KT2440,1201,pSeva221,10,0.1544428346693879,2.43188630311998,0.4423036136757082,0.7552534010871317,0.25719434923822265,0.9851548164774212,0.4274243867193384,0.18393641370495448,,-0.005777491913607956
3,KT2440,1201,pSeva221,20,0.2380882312070632,2.511277380600731,0.4672004407984676,0.8002274691598609,0.34889425905567445,0.9886829584579246,0.4378425448041957,0.26180267200118057,,0.004339627519946204
4,KT2440,1201,pSeva221,30,0.1010513460139987,2.435100060284965,0.4415934958010225,0.7600463684615119,0.2514636156759347,0.9832342689664588,0.4274036625683352,0.1291903675660972,,-0.01243341747950258
5,KT2440,1201,pSeva221,40,0.10821505573075356,2.3874530862661065,0.4405642775095812,0.7511427589405126,0.2542924757422209,0.9858183476634196,0.4260817680577254,0.1440473158431905,,-0.010663009892751051
6,KT2440,1201,pSeva221,70,0.12299961289455702,2.4717921194057118,0.4393863402676267,0.7548660486237173,0.23952741005001466,0.984057439304542,0.4265956291540716,0.14473632752662874,,-0.010580264844507003
7,KT2440,1201,pSeva221,100,0.21590552589817916,2.6148001298718526,0.43874095632095467,0.7777081126324349,0.25219707797753954,0.9826287185876124,0.4245590466959012,0.21774055905775594,,-0.0014819245690739506
8,KT2440,1201,pSeva221,200,0.20366081843846404,2.6160810099159986,0.4990193102355832,0.7627039058712659,0.3365132295461299,0.9819196118637834,0.4699158744961245,0.2062185256860007,,-0.0029623956346139825
9,KT2440,1201,pSeva221,500,0.3276696463006415,2.593761644512833,0.4625599130481921,0.7824432808201299,0.2812003857950701,0.988022551670971,0.4438951916959225,0.33331113965023423,,0.014350782127162124
10,KT2440,1201,pSeva221,1000,0.15248382620308712,2.6386676116581667,0.439981380302137,0.7748236380732701,0.2669479258615598,0.9824884961989042,0.4240148762140091,0.15082096530661307,,-0.009847066125336132
11,KT2440,1201,pSeva221,2000,0.5046556802912656,2.756305028901934,0.4677443499020432,0.7927673092350885,0.2812523955510053,0.9829194596454134,0.44886330252187545,0.4833142106880002,,0.0378277513699285
12,KT2440,1717,pSeva221,1,2.7888447331545567,2.6032955739954997,0.5314747367547761,0.6880489064926814,0.5217270284071147,0.9807168300620881,0.4534077320689214,2.7986788792123183,,1.5763807914824437
13,KT2440,1717,pSeva221,5,2.365090746017429,2.3831598906827614,0.5803836430409407,0.7368489271400581,0.44788528449976334,0.9859038670781609,0.5189158098514429,2.4513587506139665,,1.0754834898315637
14,KT2440,1717,pSeva221,10,2.4426965523346973,2.514344369206286,0.5647130978597524,0.6879257518388185,0.4301692626625477,0.9836018142803004,0.5097937616526468,2.482724235881394,,1.1139160368978136
15,KT2440,1717,pSeva221,20,2.4315936253761405,2.5843370841750644,0.5510286767206503,0.7026889584226182,0.465519646171598,0.9853725325648118,0.4876810681935888,2.447422347027009,,1.0707447425754697
16,KT2440,1717,pSeva221,30,2.3208703959561716,2.502498839954104,0.5602963366608017,0.6960495156183952,0.4300238877326269,0.9826994693143404,0.5058453434072924,2.3642086148203902,,0.9748136187312105
17,KT2440,1717,pSeva221,40,2.312321717208824,2.561649502575796,0.5721143645712947,0.7434283567370696,0.4083472853234819,0.9801652709147216,0.5222412393357604,2.333077314461553,,0.9409273051246596
18,KT2440,1717,pSeva221,70,2.2658288415538204,2.5020004679289563,0.5463340103300199,0.6962993668410267,0.450902635059705,0.9830621677261768,0.4876430641439184,2.3102992561058078,,0.9167933029106394
19,KT2440,1717,pSeva221,100,2.3414404947903056,2.614810073877874,0.5534238413658862,0.7319886788783552,0.4358783241835606,0.9798029595373986,0.4980845583937609,2.345687630365332,,0.9545266062398869
20,KT2440,1717,pSeva221,200,2.2360998170345363,2.5845561705584505,0.5497004190303888,0.7152282326213842,0.438333426904741,0.9817009240819848,0.4940775762918936,2.2506337404849597,,0.8561212514423374
21,KT2440,1717,pSeva221,500,2.2396818002338748,2.6072921976505388,0.5430627123486249,0.718772335005813,0.428398477156035,0.9798654463983132,0.4907059931801381,2.2462865540450543,,0.8518406056760661
22,KT2440,1717,pSeva221,1000,2.393418928180332,2.6200056018483067,0.5096304492667549,0.6951481472615454,0.5140948341307039,0.981075561956458,0.4371270330516405,2.396318096742636,,1.0108875973346971
23,KT2440,1717,pSeva221,2000,2.2529316111399,2.7406594925932284,0.5466889565367292,0.7166559875187858,0.45032145567986653,0.9801025196142856,0.4881202551295908,2.2141270051806337,,0.8207447860841891
24,KT2440,1818,pSeva221,1,0.22754304055902566,2.6327462313266143,0.4665992636801903,0.7572706307818244,0.2843393097904863,0.9813644214034756,0.44733977832477306,0.2266585695470015,,-0.00032427714443572194
25,KT2440,1818,pSeva221,5,0.1665793278135089,2.496395653010848,0.4448178752411392,0.7289305105925504,0.28082116233700744,0.9833260402873104,0.426918454270259,0.1890801229767957,,-0.0051331991528628185
26,KT2440,1818,pSeva221,10,0.13904415003967638,2.486241921025484,0.4379617210781347,0.7413315427300263,0.2777303313011326,0.9798455314966478,0.4207319029266631,0.16225377294704252,,-0.00845728815071769
27,KT2440,1818,pSeva221,20,0.19489159070842715,2.5127707551152607,0.4655062650131875,0.7427851297064122,0.3304117187712824,0.982762622852132,0.439361990667072,0.21868957259720836,,-0.001359223351846684
28,KT2440,1818,pSeva221,30,0.13340768544648302,2.428143101215436,0.43302765241357466,0.7309924067564272,0.3120769755149786,0.9873890729344584,0.4114008744525728,0.17029920291422032,,-0.007469712806980795
29,KT2440,1818,pSeva221,40,0.12216300758590545,2.4126831472829746,0.4300423299887059,0.7453468569533174,0.307786559313109,0.9854710072280712,0.4091661096879324,0.1603460520061768,,-0.008690297540234091
30,KT2440,1818,pSeva221,70,0.18245527340959566,2.4212360603824927,0.45014953441450783,0.7323678888541383,0.31751870756378003,0.9851741169301852,0.4268551998307303,0.22274891113113143,,-0.0008330612476272327
31,KT2440,1818,pSeva221,100,0.29210864730503683,2.492158350602144,0.4654381171499502,0.7501299211924295,0.34623314647370224,0.9851501956400156,0.43665007150427054,0.32122653843128873,,0.012608281815327554
32,KT2440,1818,pSeva221,200,0.6339778798047047,2.5482625099491,0.5739898063316567,0.7590343766042044,0.2921359461321817,0.988194695500624,0.5489505358323163,0.6515264359366311,,0.06870252766026351
33,KT2440,1818,pSeva221,500,1.3377405892096976,2.4975183306491178,0.6710353437747154,0.7665708172972493,0.2605160988568029,0.9832731178401536,0.647864160201771,1.3674278604594479,,0.2772982526336254
34,KT2440,1818,pSeva221,1000,1.805645221009704,2.520701606375596,0.6509473294110331,0.7733788053057226,0.27731413567896696,0.9761346124775284,0.6254167218069222,1.8306195625233352,,0.517673765496739
35,KT2440,1818,pSeva221,2000,2.201500900556607,2.6537298542849572,0.6023005254539741,0.7459326200622194,0.3614236581964373,0.9772866872160658,0.5615860367939907,2.1939039702965353,,0.8016966562229592
36,KT2440,Amer_f1,pSeva221,1,4.943470399324596,2.634613555005193,0.5712012900189636,0.7201199389136836,0.4605417933734118,0.9785064917933828,0.5070199827395997,4.940944063806074,,14.41153542082933
37,KT2440,Amer_f1,pSeva221,5,4.789086035943017,2.5396543622438834,0.6173046986495822,0.7248707578804432,0.3538359241128161,0.9824667533952745,0.5773697207850352,4.815616086164064,,12.698567661044438
38,KT2440,Amer_f1,pSeva221,10,4.777785954506586,2.5270499071950567,0.6174350891738909,0.7321149386016451,0.3977663551955494,0.9795432433421656,0.5664885100210413,4.8115492559299575,,12.646499099205741
39,KT2440,Amer_f1,pSeva221,20,4.752185681327937,2.559682068942004,0.6252431877857563,0.7413625044315323,0.3602161023049816,0.9770968682147764,0.5832699164619904,4.772848570398509,,12.16145843298443
40,KT2440,Amer_f1,pSeva221,30,4.671153980069713,2.5174855036464208,0.6057057162528325,0.7229278634691891,0.3791579500033545,0.9830287752716816,0.5604788617769912,4.706165990518354,,11.368516180119355
41,KT2440,Amer_f1,pSeva221,40,4.686188044622921,2.5396126147153644,0.615280827898807,0.7294164863942413,0.37074236705182856,0.9814444601883257,0.5714333024659021,4.7137349649153535,,11.455883783528153
42,KT2440,Amer_f1,pSeva221,70,4.671657022786377,2.5416485354588203,0.6113826559718908,0.7372841118896785,0.3830822304815783,0.9815039645934732,0.5647428678957537,4.698991927673066,,11.286315190112896
43,KT2440,Amer_f1,pSeva221,100,4.71432521600525,2.603046553197736,0.61914460580146,0.7537596228450194,0.3496951814731161,0.9841296094193069,0.5800540030237543,4.7214061135838,,11.545108086707506
44,KT2440,Amer_f1,pSeva221,200,4.595450731222419,2.5347567110888014,0.6195063903946538,0.7265055909252751,0.3719608280607579,0.9812123571189948,0.5750558324538039,4.624929676313736,,10.471297825331272
45,KT2440,Amer_f1,pSeva221,500,4.57957045388479,2.6115128677182824,0.599297320493921,0.7335420453258701,0.3817870370980324,0.9813514891790348,0.5539007416304892,4.584618812851894,,10.052420938280385
46,KT2440,Amer_f1,pSeva221,1000,4.614334089947549,2.649297247718489,0.6098167266430301,0.7629375154179724,0.3612867738874768,0.9803561432695548,0.5686265054204843,4.60809667778263,,10.29432782217409
47,KT2440,Amer_f1,pSeva221,2000,4.572676393753069,2.7632176996633904,0.5893242454190947,0.7541513563434515,0.4211376684052071,0.9796455345521464,0.5345151622116753,4.528077626773284,,9.492629180485919
48,KT2440,Amtr_a1,pSeva221,1,2.9159562416656746,2.7087230407591654,0.4594617338493094,0.6296693127889805,0.6380122250339344,0.9762250534567718,0.3537975884813672,2.8782349998345547,1.76,1.7177390398679893
49,KT2440,Amtr_a1,pSeva221,5,2.7989198673300075,2.6243522888279123,0.4566856087897288,0.6184563036672128,0.6400809479801132,0.9758729261231804,0.35087496811478713,2.8005011508654163,1.53,1.5794944180331654
50,KT2440,Amtr_a1,pSeva221,10,2.8319694096136363,2.6019378173883867,0.43557358274647207,0.5871490963121179,0.6523178291224413,0.9781197507521592,0.3301410567415725,2.8444351614479166,1.62,1.6563056924360455
51,KT2440,Amtr_a1,pSeva221,20,2.698237893135755,2.5844373331907593,0.4479400569524535,0.6127873729717367,0.6333503888499711,0.9770109634280608,0.3466452035781663,2.7182662651710108,1.4,1.4444830231458807
52,KT2440,Amtr_a1,pSeva221,30,2.6765676312070683,2.572218623007436,0.4443434119016844,0.5967148177782292,0.6413281741747998,0.9800805135566876,0.3409298987069209,2.7030625441521843,1.37,1.4207153035421787
53,KT2440,Amtr_a1,pSeva221,40,2.6317790099344887,2.585479020098889,0.4548030538852554,0.6267908179650369,0.6422468565605336,0.9782893534736888,0.348605569261116,2.6514537377813805,1.3,1.3426788911355543
